PNG chunks:
  offset=8 type=IHDR length=13
  offset=33 type=IDAT length=4096
  offset=4141 type=IDAT length=4096
  offset=8249 type=IDAT length=4096
  offset=12357 type=IDAT length=4096
  offset=16465 type=IDAT length=4096
  offset=20573 type=IDAT length=4096
  offset=24681 type=IDAT length=4096
  offset=28789 type=IDAT length=4096
  offset=32897 type=IDAT length=4096
  offset=37005 type=IDAT length=4096
  offset=41113 type=IDAT length=2078
  offset=43203 type=IDAT length=6
  offset=43221 type=IEND length=0
