PNG chunks:
  offset=8 type=IHDR length=13
  offset=33 type=IDAT length=4096
  offset=4141 type=IDAT length=4096
  offset=8249 type=IDAT length=4096
  offset=12357 type=IDAT length=4096
  offset=16465 type=IDAT length=4096
  offset=20573 type=IDAT length=4096
  offset=24681 type=IDAT length=4096
  offset=28789 type=IDAT length=4096
  offset=32897 type=IDAT length=4096
  offset=37005 type=IDAT length=4096
  offset=41113 type=IDAT length=4096
  offset=45221 type=IDAT length=4096
  offset=49329 type=IDAT length=4096
  offset=53437 type=IDAT length=4096
  offset=57545 type=IDAT length=4096
  offset=61653 type=IDAT length=4096
  offset=65761 type=IDAT length=4096
  offset=69869 type=IDAT length=4096
  offset=73977 type=IDAT length=4096
  offset=78085 type=IDAT length=4096
  offset=82193 type=IDAT length=4096
  offset=86301 type=IDAT length=4096
  offset=90409 type=IDAT length=4096
  offset=94517 type=IDAT length=4096
  offset=98625 type=IDAT length=4096
  offset=102733 type=IDAT length=743
  offset=103488 type=IDAT length=6
  offset=103506 type=IEND length=0
